name,category_name,subcategory_name,type_name
Community Health,Health Care,Public Health and Disease Prevention,Specialized Skill
Community Health Improvement,Health Care,Public Health and Disease Prevention,Specialized Skill
Community Health Nursing,Health Care,Public Health and Disease Prevention,Specialized Skill
Community Health Worker Certification,Social and Human Services,Community and Social Work,Certification
Community Language Learning,Media and Communications,"Language Interpretation, Translation, and Studies",Specialized Skill
Community Leadership,Physical and Inherent Abilities,Initiative and Leadership,Common Skill
Community Management,"Economics, Policy, and Social Studies",Urban and Regional Planning,Specialized Skill
Community Marketing,Marketing and Public Relations,Marketing Strategy and Techniques,Specialized Skill
Community Mediation,Social and Human Services,Community and Social Work,Specialized Skill
Community Mental Health,Health Care,Mental Health Therapies,Specialized Skill
Community Mental Health Services,Health Care,Mental Health Therapies,Specialized Skill
Community Multi-Scale Air Quality Model,Environment,Air Quality and Emissions,Specialized Skill
Community Nutrition,Health Care,Nutrition and Diet,Specialized Skill
Community Organizing,"Economics, Policy, and Social Studies",Social Studies,Specialized Skill
Community Outreach,Social and Human Services,Community and Social Work,Specialized Skill
Community Planning,Social and Human Services,Community and Social Work,Specialized Skill
Community Policing,"Law, Regulation, and Compliance",Law Enforcement and Criminal Justice,Specialized Skill
Community Property,"Law, Regulation, and Compliance",Property Law,Specialized Skill
Community Radio,Media and Communications,Media Production,Specialized Skill
Community Reintegration,Health Care,Rehabilitation,Specialized Skill
Community Reinvestment Act,Finance,Financial Regulation,Specialized Skill
Community Reinvestment Act (CRA) Lending,Finance,General Lending,Specialized Skill
Community Relations,Social and Human Services,Community and Social Work,Specialized Skill
Community Resilience,Social and Human Services,Community and Social Work,Specialized Skill
Community Sustainability,"Economics, Policy, and Social Studies",Urban and Regional Planning,Specialized Skill
Community-Based Participatory Research,Science and Research,General Science and Research,Specialized Skill
CommunityViz,Information Technology,Geospatial Information and Technology,Specialized Skill
Commuter Rail,"Transportation, Supply Chain, and Logistics",Rail Transportation,Specialized Skill
CompEx,Environment,Hazardous Materials Management,Specialized Skill
CompTIA A+,Information Technology,Software Quality Assurance,Certification
CompTIA A+ CE,Information Technology,Computer Science,Certification
CompTIA Advanced Security Practitioner (CASP+),Information Technology,Network Security,Certification
CompTIA CASP+ CE,Engineering,Circuitry,Certification
CompTIA Certification,Manufacturing and Production,Product Inspection,Certification
CompTIA Certified Document Imaging Architect (CDIA+),Design,Digital Design,Certification
CompTIA Certified Technical Trainer (CTT+),Education and Training,Training Programs,Certification
CompTIA Cloud Admin Professional (CCAP),Information Technology,Cloud Computing,Certification
CompTIA Cloud Essentials,Information Technology,Cloud Computing,Certification
CompTIA Cloud+,Information Technology,Cloud Computing,Certification
CompTIA Cloud+ CE,Information Technology,Cloud Computing,Certification
CompTIA Convergence Technologies Professional (CTP+),Administration,Office and Productivity Equipment and Technology,Certification
CompTIA Convergence+,Information Technology,Computer Science,Certification
CompTIA Cybersecurity Analyst (CySA+),Information Technology,Cybersecurity,Certification
CompTIA Cybersecurity Analyst (CySA+) CE,Information Technology,Cybersecurity,Certification
CompTIA Data+,Analysis,Data Analysis,Certification
CompTIA Digital Home Technology Integrator (DHTI+),Administration,Office and Productivity Equipment and Technology,Certification
CompTIA Green IT Specialist,Information Technology,IT Management,Certification
CompTIA Healthcare IT Technician,Information Technology,IT Management,Certification
CompTIA Home Technology Integrator (HTI+),Administration,Office and Productivity Equipment and Technology,Certification
CompTIA IT For Sales,Marketing and Public Relations,Marketing Software,Certification
CompTIA IT Fundamentals (ITF+),Information Technology,IT Management,Certification
CompTIA IT Operations Specialist (CIOS),Information Technology,IT Management,Certification
CompTIA Instructor+,Education and Training,Education Software and Technology,Certification
CompTIA Linux Network Professional (CLNP),Information Technology,Networking Software,Certification
CompTIA Linux+,Information Technology,Computer Hardware,Certification
CompTIA Linux+ Powered By LPI,Information Technology,Computer Hardware,Certification
CompTIA Mobile App Security+,Information Technology,Network Security,Certification
CompTIA Mobility+,Information Technology,Wireless Technologies,Certification
CompTIA Mobility+ CE,Engineering,Circuitry,Certification
CompTIA Network Infrastructure Professional (CNIP),Information Technology,Networking Software,Certification
CompTIA Network Security Professional (CNSP),Information Technology,Cybersecurity,Certification
CompTIA Network Vulnerability Assessment Professional (CNVP),Information Technology,Network Security,Certification
CompTIA Network+,Information Technology,Networking Software,Certification
CompTIA Network+ CE,Information Technology,Networking Software,Certification
CompTIA PenTest+ CE,Information Technology,Test Automation,Certification
CompTIA Printing and Document Imaging (PDI+),Administration,Document Management,Certification
CompTIA Project+,Information Technology,Computer Science,Certification
CompTIA Radio Frequency Identification (RFID+),Engineering,Radio Frequency (RF),Certification
CompTIA Secure Cloud Professional (CSCP),Information Technology,Cloud Computing,Certification
CompTIA Secure Infrastructure Specialist (CSIS),Information Technology,Network Security,Certification
CompTIA Security Analytics Expert (CSAE),Information Technology,Cybersecurity,Certification
CompTIA Security Analytics Professional (CSAP),Information Technology,Cybersecurity,Certification
CompTIA Security Infrastructure Expert (CSIE),Information Technology,Network Security,Certification
CompTIA Security+,Information Technology,Network Security,Certification
CompTIA Security+ CE,Information Technology,Cybersecurity,Certification
CompTIA Server+,Information Technology,Servers,Certification
CompTIA Storage+ Powered By SNIA,Information Technology,Data Storage,Certification
CompTIA Storage+ Powered By SNIA CE,Information Technology,Computer Hardware,Certification
CompTIA Strata - IT Fundamentals,Science and Research,"Elements, Compounds, and Materials",Certification
CompTIA Strata - Network Technology Engineer,"Maintenance, Repair, and Facility Services",Telecommunications Equipment and Installation,Certification
CompTIA Strata - PC Functionality,Information Technology,Computer Hardware,Certification
CompTIA Strata - PC Hardware Technology Engineer,Information Technology,Computer Hardware,Certification
CompTIA Strata - PC Operating System Engineer,Information Technology,Computer Hardware,Certification
CompTIA Strata - PC Technology,Information Technology,Computer Hardware,Certification
CompTIA Systems Support Specialist (CSSS),Information Technology,Systems Administration,Certification
CompTIA e-Biz+,Sales,E-Commerce,Certification
CompTIA i-Net+,Information Technology,Networking Software,Certification
Compact Cassettes,Media and Communications,Photo/Video Production and Technology,Specialized Skill
Compact Discs,Information Technology,Computer Hardware,Common Skill
Compact Fluorescent Lamp,Architecture and Construction,Electrical Construction,Specialized Skill
Compact Framework,Information Technology,Software Development,Specialized Skill
Compact HyperText Markup Language (C-HTML),Information Technology,Web Design and Development,Specialized Skill
CompactFlash,Information Technology,Data Storage,Specialized Skill
CompactPCI,Information Technology,Computer Hardware,Specialized Skill
CompactRIO,Information Technology,Computer Hardware,Specialized Skill
Compaction Rollers,Architecture and Construction,Heavy Equipment Operation,Specialized Skill
Compaction Simulation,Engineering,Simulation and Simulation Software,Specialized Skill
Companionship,Health Care,Home Health Care and Assisted Living,Specialized Skill
Company Administration,Business,Business Operations,Specialized Skill
Company Structure,Business,Business Operations,Specialized Skill
Compaq SystemPro,Information Technology,Systems Administration,Specialized Skill
Comparable Transactions,Finance,Mergers and Acquisitions,Specialized Skill
Comparative Analysis,Science and Research,General Science and Research,Specialized Skill
Comparative Anatomy,Science and Research,Biology,Specialized Skill
Comparative Economic Systems,"Economics, Policy, and Social Studies",Economics,Specialized Skill
Comparative Genomics,Science and Research,Genetics,Specialized Skill
Comparative Law,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Comparative Psychology,Health Care,Mental and Behavioral Health Specialties,Specialized Skill
Comparative Religion,Social and Human Services,Religious Studies and Services,Specialized Skill
Compass-And-Straightedge Construction,Engineering,Drafting and Engineering Design,Specialized Skill
Compassion,Physical and Inherent Abilities,Social Skills,Common Skill
Compatibility Testing,"Law, Regulation, and Compliance",Quality Assurance and Control,Specialized Skill
Compatible Time-Sharing Systems,Information Technology,Operating Systems,Specialized Skill
Compensation Analysis,Human Resources,Compensation and Benefits,Specialized Skill
Compensation Benchmarking,Human Resources,Compensation and Benefits,Specialized Skill
Compensation Management,Human Resources,Compensation and Benefits,Specialized Skill
Compensation Program Design,Human Resources,Compensation and Benefits,Specialized Skill
Compensation Programs and Policies,Human Resources,Compensation and Benefits,Specialized Skill
Compensation Strategy,Human Resources,Compensation and Benefits,Specialized Skill
Compensation and Benefits Administration,Human Resources,Human Resources Management and Planning,Specialized Skill
Compensatory Education,Education and Training,Childhood Education and Development,Specialized Skill
Competency Assessment,Human Resources,Human Resources Management and Planning,Specialized Skill
Competency Management Systems,Education and Training,Education Software and Technology,Specialized Skill
Competency Mapping,Business,Performance Management,Specialized Skill
Competency Modeling,Human Resources,Human Resources Management and Planning,Specialized Skill
Competency-Based Development,Human Resources,Human Resources Management and Planning,Specialized Skill
Competition Law,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Competitive Analysis,Marketing and Public Relations,Market Analysis,Specialized Skill
Competitive Dance,"Performing Arts, Sports, and Recreation",Dance,Specialized Skill
Competitive Environment,Marketing and Public Relations,Market Analysis,Specialized Skill
Competitive Intelligence,Marketing and Public Relations,Marketing Strategy and Techniques,Specialized Skill
Competitive Programming,Information Technology,Software Development,Specialized Skill
Competitive Review,Marketing and Public Relations,Market Analysis,Specialized Skill
Competitive Sales,Sales,General Sales Practices,Specialized Skill
Compiler Construction,Information Technology,Software Development,Specialized Skill
Compiler Design,Information Technology,Software Development,Specialized Skill
Compiler Development,Information Technology,Software Development,Specialized Skill
Compiler Technologies,Information Technology,Data Collection,Specialized Skill
Compiler Theories,Information Technology,Computer Science,Specialized Skill
Compilers,Information Technology,Software Development,Specialized Skill
Compiling Code,Information Technology,Software Development Tools,Specialized Skill
Compiz,Design,User Interface and User Experience (UI/UX) Design,Specialized Skill
Complaint Investigations,Customer and Client Support,Customer Service,Specialized Skill
Complement Fixation Tests,Health Care,Immunology,Specialized Skill
Complementary Metal Oxide Semiconductor (CMOS),Engineering,Circuitry,Specialized Skill
Complementary Therapies,Health Care,Alternative Therapy,Specialized Skill
Complete Blood Counting,Health Care,Hematology,Specialized Skill
Completely Randomized Design,Science and Research,Clinical Trials,Specialized Skill
Complex Adaptive Systems,Analysis,Data Science,Specialized Skill
Complex Event Processing,Information Technology,Data Management,Specialized Skill
Complex Instruction Set Computing,Information Technology,Computer Hardware,Specialized Skill
Complex Networks,Information Technology,General Networking,Specialized Skill
Complex Problem Solving,Physical and Inherent Abilities,Critical Thinking and Problem Solving,Common Skill
Complex Regional Pain Syndrome,Health Care,Nursing and Patient Care,Specialized Skill
Complex Sales,Sales,Solution Sales Engineering,Specialized Skill
Complex Transactions,Finance,Structured Finance,Specialized Skill
Complex Web Systems,Information Technology,Web Design and Development,Specialized Skill
Complexity Analysis,Analysis,Data Analysis,Specialized Skill
Complexity Reduction,Engineering,Process Engineering,Specialized Skill
Complexity Theory,Information Technology,Computer Science,Specialized Skill
Compliance Analysis,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Assessments,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Assurance,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Auditing,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Certification Management,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Implementation,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Management,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Remediation,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Reporting,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Requirements,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Risk,Business,Risk Management,Specialized Skill
Compliance Risk Management,Business,Risk Management,Specialized Skill
Compliance Testing,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Compliance Training,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Complications Of Pregnancy,Health Care,Obstetrics and Gynecology (OBGYN),Specialized Skill
Compojure,Information Technology,Software Development Tools,Specialized Skill
Component Analysis,Analysis,Data Analysis,Specialized Skill
Component Content Management System (CCMS),Media and Communications,Content Development and Management,Specialized Skill
Component Design,Engineering,Drafting and Engineering Design,Specialized Skill
Component Diagram,Engineering,Drafting and Engineering Design,Specialized Skill
Component Engineering,Engineering,"Engineering, Other",Specialized Skill
Component Libraries,Design,User Interface and User Experience (UI/UX) Design,Specialized Skill
Component Object Model (COM),Information Technology,Microsoft Development Tools,Specialized Skill
Component Pascal,Information Technology,Other Programming Languages,Specialized Skill
Component Services,Information Technology,Software Development,Specialized Skill
Component-Based Software Engineering,Engineering,Engineering Software,Specialized Skill
Component-Oriented Development Software,Information Technology,Software Development,Specialized Skill
Composer PHP,Business,Project Management,Specialized Skill
Composite Application,Information Technology,Software Development,Specialized Skill
Composite Decking,Architecture and Construction,Carpentry,Specialized Skill
Composite Design,Engineering,Materials Science and Engineering,Specialized Skill
Composite Materials,Science and Research,"Elements, Compounds, and Materials",Specialized Skill
Composite Patterns (Software Design Patterns),Information Technology,Software Development,Specialized Skill
Composite Structures,Architecture and Construction,Construction Management,Specialized Skill
Composite UI Application Block,Design,User Interface and User Experience (UI/UX) Design,Specialized Skill
Composites,Science and Research,"Elements, Compounds, and Materials",Specialized Skill
Compositing,Design,Animation and Game Design,Specialized Skill
Composting,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Specialized Skill
Composure,Physical and Inherent Abilities,Personal Attributes,Common Skill
Compound Files,Information Technology,Software Development Tools,Specialized Skill
Compound Handling,Science and Research,Laboratory Research,Specialized Skill
Compound Semiconductor,Engineering,Materials Science and Engineering,Specialized Skill
Compounded Sterile Preparations,Health Care,Pharmacy,Specialized Skill
Comprehensive Annual Financial Reports,Finance,Financial Reporting,Specialized Skill
Comprehensive Capital Analysis And Review (CCAR),Finance,Financial Regulation,Specialized Skill
Comprehensive Child Development,Education and Training,Childhood Education and Development,Specialized Skill
Comprehensive Environmental Response Compensation and Liability Act (CERCLA),Environment,Environmental Regulations,Specialized Skill
Comprehensive Everglades Restoration Planning,Environment,Environmental Engineering and Restoration,Specialized Skill
Comprehensive Income,Finance,Financial Accounting,Specialized Skill
Comprehensive Layout,Design,Graphic and Visual Design,Specialized Skill
Comprehensive Planning,Health Care,Rehabilitation,Specialized Skill
Compressed Air,"Maintenance, Repair, and Facility Services",General Repairs and Maintenance,Specialized Skill
Compressed Air Energy Storage,Energy and Utilities,Clean Energy,Specialized Skill
Compressed Natural Gas (CNG),Energy and Utilities,Natural Gas,Specialized Skill
Compressed Sensing,Engineering,Signal Processing,Specialized Skill
Compression Fitting,"Maintenance, Repair, and Facility Services",General Repairs and Maintenance,Specialized Skill
Compression Molding,Manufacturing and Production,Manufacturing Processes,Specialized Skill
Compression Therapy,Health Care,Mental Health Therapies,Specialized Skill
Compressive Strength,Engineering,Materials Science and Engineering,Specialized Skill
Compressor Station,Energy and Utilities,Natural Gas,Specialized Skill
Compressors,Manufacturing and Production,Machinery,Specialized Skill
Computability Theories,Information Technology,Computer Science,Specialized Skill
Computation Tree Logic,Information Technology,Software Development,Specialized Skill
Computational Biology,Science and Research,Biology,Specialized Skill
Computational Chemistry,Science and Research,Chemistry,Specialized Skill
Computational Complexity Theories,Information Technology,Computer Science,Specialized Skill
Computational Design,Engineering,Drafting and Engineering Design,Specialized Skill
Computational Electromagnetics,Engineering,Electrical and Computer Engineering,Specialized Skill
Computational Fluid Dynamics,Engineering,Mechanical Engineering,Specialized Skill
Computational Genomics,Science and Research,Genetics,Specialized Skill
Computational Geometry,Analysis,Mathematics and Mathematical Modeling,Specialized Skill
Computational Intelligence,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
Computational Linguistics,Analysis,Natural Language Processing (NLP),Specialized Skill
Computational Logic,Information Technology,Computer Science,Specialized Skill
Computational Mathematics,Analysis,Mathematics and Mathematical Modeling,Specialized Skill
Computational Mechanics,Analysis,Mathematics and Mathematical Modeling,Specialized Skill
Computational Modeling,Analysis,Mathematics and Mathematical Modeling,Specialized Skill
Computational Neuroscience,Science and Research,Neuroscience,Specialized Skill
Computational Physics,Science and Research,Physics,Specialized Skill
Computational Science And Engineering,Analysis,Mathematics and Mathematical Modeling,Specialized Skill
Computational Statistics,Analysis,Statistics,Specialized Skill
Computational Thinking,Education and Training,Instructional and Curriculum Design,Specialized Skill
Computational Tools,Science and Research,General Science and Research,Specialized Skill
Computed Radiography,Health Care,Medical Imaging,Specialized Skill
Computer Aided Diagnosis,Health Care,Medical Equipment and Technology,Specialized Skill
Computer Aided Engineering (CAE),Engineering,Drafting and Engineering Design,Specialized Skill
Computer Aided Three-Dimensional Interactive Application (CATIA),Engineering,Engineering Software,Specialized Skill
Computer And Network Surveillance,Information Technology,Cybersecurity,Specialized Skill
Computer Animation,Design,Animation and Game Design,Specialized Skill
Computer Architecture,Information Technology,Computer Science,Specialized Skill
Computer Automated Measurement And Controls,Information Technology,IT Automation,Specialized Skill
Computer Booking Systems,Business,Customer Relationship Management (CRM),Specialized Skill
Computer Building,Information Technology,Technical Support and Services,Specialized Skill
Computer Cases,Information Technology,Computer Hardware,Specialized Skill
Computer Clusters,Information Technology,Computer Science,Specialized Skill
Computer Conferencing,Information Technology,Video and Web Conferencing,Specialized Skill
Computer Data Storage,Information Technology,Data Storage,Specialized Skill
Computer Design,Engineering,Electrical and Computer Engineering,Specialized Skill
Computer Displays,Information Technology,Computer Hardware,Specialized Skill
Computer Electronics Certification,Engineering,Electronics Engineering,Certification
Computer Engineering,Engineering,Electrical and Computer Engineering,Specialized Skill
Computer Facial Animation,Design,Animation and Game Design,Specialized Skill
Computer Fonts,Design,Graphic and Visual Design,Specialized Skill
Computer Forensics,"Law, Regulation, and Compliance",Criminal Investigation and Forensics,Specialized Skill
Computer Fraud,Information Technology,Cybersecurity,Specialized Skill
Computer Graphics,Design,Digital Design,Specialized Skill
Computer Hacking Forensic Investigator,"Law, Regulation, and Compliance",Criminal Investigation and Forensics,Certification
Computer Hardware,Information Technology,Computer Hardware,Specialized Skill
Computer Integrated Manufacturing,Manufacturing and Production,Computer-Aided Manufacturing,Specialized Skill
Computer Interface To Message Distribution (CIMD),Information Technology,Telecommunications,Specialized Skill
Computer Keyboards,Information Technology,Basic Technical Knowledge,Common Skill
Computer Law,"Law, Regulation, and Compliance",Regulation and Legal Compliance,Specialized Skill
Computer Literacy,Information Technology,Basic Technical Knowledge,Common Skill
Computer Maintenance,Information Technology,Basic Technical Knowledge,Specialized Skill
Computer Mapping,Information Technology,Geospatial Information and Technology,Specialized Skill
Computer Multitasking,Administration,Office and Productivity Equipment and Technology,Specialized Skill
Computer Network Defense,Information Technology,Network Security,Specialized Skill
Computer Network Operations,Information Technology,General Networking,Specialized Skill
Computer Networks,Information Technology,General Networking,Specialized Skill
Computer Numerical Control (CNC),Manufacturing and Production,Computer-Aided Manufacturing,Specialized Skill
Computer Operations,Information Technology,Computer Hardware,Specialized Skill
Computer Performance,Information Technology,Technical Support and Services,Specialized Skill
Computer Programming,Information Technology,Computer Science,Specialized Skill
Computer Repair,Information Technology,Technical Support and Services,Specialized Skill
Computer Reservations Systems,Hospitality and Food Services,Travel and Tourism,Specialized Skill
Computer Room Air Conditioning (CRAC) Units,"Maintenance, Repair, and Facility Services",HVAC,Specialized Skill
Computer Room Air Handler (CRAH) Units,"Maintenance, Repair, and Facility Services",HVAC,Specialized Skill
Computer Sales,Sales,Specialized Sales,Specialized Skill
Computer Science,Information Technology,Computer Science,Specialized Skill
Computer Security,Information Technology,Cybersecurity,Specialized Skill
Computer Security Awareness Training,Information Technology,Cybersecurity,Specialized Skill
Computer Security Incident Response,Information Technology,Cybersecurity,Specialized Skill
Computer Servers,Information Technology,Servers,Specialized Skill
Computer Simulation,Engineering,Simulation and Simulation Software,Specialized Skill
Computer System Validation,Engineering,Engineering Practices,Specialized Skill
Computer Systems,Information Technology,Computer Science,Specialized Skill
Computer Technical Support Certification,Information Technology,Technical Support and Services,Certification
Computer Telephony Integration,Engineering,Electrical and Computer Engineering,Specialized Skill
Computer Terminals,Information Technology,Basic Technical Knowledge,Common Skill
Computer Upgrades,Information Technology,Technical Support and Services,Specialized Skill
Computer Virus,Information Technology,Malware Protection,Specialized Skill
Computer Vision,Analysis,Image Analysis,Specialized Skill
Computer-Aided Architectural Design,Architecture and Construction,Architectural Design,Specialized Skill
Computer-Aided Audit Tools,"Law, Regulation, and Compliance",Auditing,Specialized Skill
Computer-Aided Design,Engineering,Drafting and Engineering Design,Specialized Skill
Computer-Aided Dispatch,Public Safety and National Security,Emergency Services,Specialized Skill
Computer-Aided Drug Design & Discovery,Science and Research,Pharmacology and Drug Discovery,Specialized Skill
Computer-Aided Facility Management,"Maintenance, Repair, and Facility Services",Facility Management and Maintenance,Specialized Skill
Computer-Aided Manufacturing,Manufacturing and Production,Computer-Aided Manufacturing,Specialized Skill
Computer-Aided Process Planning,Manufacturing and Production,Computer-Aided Manufacturing,Specialized Skill
Computer-Aided Quality Assurance,Information Technology,Software Quality Assurance,Specialized Skill
Computer-Aided Software Engineering,Information Technology,Software Development,Specialized Skill
Computer-Aided Technologies,Manufacturing and Production,Computer-Aided Manufacturing,Specialized Skill
Computer-Assisted Audit Tools And Techniques (CAATT),Business,Internal Controls,Specialized Skill
Computer-Assisted Engineering Software,Engineering,Engineering Software,Specialized Skill
Computer-Assisted Language Learning,Media and Communications,"Language Interpretation, Translation, and Studies",Specialized Skill
Computer-Assisted Legal Research,"Law, Regulation, and Compliance",Legal Support,Specialized Skill
Computer-Assisted Passenger Prescreening System,Public Safety and National Security,Safety and Surveillance Technology,Specialized Skill
Computer-Assisted Surgery,Health Care,Surgery,Specialized Skill
Computer-Assisted Telephone Interviewing,Information Technology,IT Automation,Specialized Skill
Computer-Assisted Translation,Media and Communications,"Language Interpretation, Translation, and Studies",Specialized Skill
Computer-Assisted Web Interviewing,Human Resources,Recruitment,Specialized Skill
Computer-Augmented Design And Manufacturing (CADAM),Engineering,Drafting and Engineering Design,Specialized Skill
Computer-Generated Imagery,Design,Animation and Game Design,Specialized Skill
Computer-Integrated Manufacturing,Manufacturing and Production,Computer-Aided Manufacturing,Specialized Skill
Computer-Mediated Communication,Media and Communications,Communication,Specialized Skill
Computer-Supported Collaborative Learning,Information Technology,Collaborative Software,Specialized Skill
Computer-To-Plate,Manufacturing and Production,Production and Assembly,Specialized Skill
ComputerRx (Pharmacy Management Software),Health Care,Health Care Administration,Specialized Skill
Computerised Cognitive Behavioural Therapy (CCBT),Health Care,Mental Health Therapies,Specialized Skill
Computerized Accounting,Finance,General Accounting,Specialized Skill
Computerized Accounts Payable,Finance,Accounts Payable and Receivable,Specialized Skill
Computerized Inventory Systems Specialists,"Transportation, Supply Chain, and Logistics",Inventory and Warehousing,Specialized Skill
Computerized Laboratory Equipment,Science and Research,Laboratory Research,Specialized Skill
Computerized Maintenance Management Systems,"Maintenance, Repair, and Facility Services",General Repairs and Maintenance,Specialized Skill
Computerized Patient Record System,Health Care,Health Information Management and Medical Records,Specialized Skill
Computerized Payroll Systems,Human Resources,Payroll,Specialized Skill
Computerized Physician Order Entry,Health Care,Health Information Management and Medical Records,Specialized Skill
Computing Platforms,Information Technology,Computer Science,Specialized Skill
Comsol Multiphysics,Analysis,Mathematical Software,Specialized Skill
Concealed Handgun License,Public Safety and National Security,Safety and Security,Certification
Concealed Pistol License,"Law, Regulation, and Compliance",Law Enforcement and Criminal Justice,Certification
Concentrated Solar Power,Energy and Utilities,Solar Energy,Specialized Skill
Concentrix Solar,Energy and Utilities,Solar Energy,Specialized Skill
Concept Analysis,Business,Project Management,Specialized Skill
Concept Arts,Design,Art and Illustration,Specialized Skill
Concept Drift Detection,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
Concept Image And Concept Definition,Information Technology,System Design and Implementation,Specialized Skill
Concept Map,Analysis,Data Visualization,Specialized Skill
Concept Note,Finance,Mergers and Acquisitions,Specialized Skill
Concept Of Operations,Information Technology,System Design and Implementation,Specialized Skill
Concept Testing,Manufacturing and Production,Product Development,Specialized Skill
ConceptDraw DIAGRAM,Design,Graphic and Visual Design Software,Specialized Skill
Conceptual Architecture,Architecture and Construction,Architectural Design,Specialized Skill
Conceptual Art,Design,Art and Illustration,Specialized Skill
Conceptual Data Modeling,Analysis,Data Science,Specialized Skill
Conceptual Design,Engineering,Drafting and Engineering Design,Specialized Skill
Conceptual Framework,Analysis,Data Analysis,Specialized Skill
Conceptual Graph,Analysis,Data Visualization,Specialized Skill
Conceptual Model,Information Technology,System Design and Implementation,Specialized Skill
Conceptualization,Manufacturing and Production,Product Development,Specialized Skill
Concert Dancing,"Performing Arts, Sports, and Recreation",Dance,Specialized Skill
Concerto,"Performing Arts, Sports, and Recreation",Music,Specialized Skill
Conciliation,"Law, Regulation, and Compliance",Litigation and Civil Justice,Common Skill
Concision,Media and Communications,Communication,Common Skill
Concordion,Information Technology,Test Automation,Specialized Skill
Concourse CI,Information Technology,Test Automation,Specialized Skill
Concrete Admixtures,Architecture and Construction,Concrete and Masonry,Specialized Skill
Concrete Breakers,Architecture and Construction,Heavy Equipment Operation,Specialized Skill
Concrete CMS,Information Technology,Content Management Systems,Specialized Skill
Concrete Finishing,Architecture and Construction,Concrete and Masonry,Specialized Skill
Concrete Flatwork Finisher And Technician,Architecture and Construction,Concrete and Masonry,Certification
Concrete Forming,Architecture and Construction,Concrete and Masonry,Specialized Skill
Concrete Masonry Unit,Architecture and Construction,Concrete and Masonry,Specialized Skill
Concrete Mixing And Batching,Architecture and Construction,Concrete and Masonry,Specialized Skill
Concrete Placement,Architecture and Construction,Concrete and Masonry,Specialized Skill
Concrete Pouring,Architecture and Construction,Concrete and Masonry,Specialized Skill
Concrete Slump Tests,Architecture and Construction,Concrete and Masonry,Specialized Skill
Concrete Transportation Construction Inspector,Architecture and Construction,Construction Inspection,Certification
Concrete Vibrators,Architecture and Construction,Concrete and Masonry,Specialized Skill
Concur Expense,Finance,Budget Management,Specialized Skill
Concur Invoice,Finance,Accounting and Finance Software,Specialized Skill
Concur Travel,Finance,Accounting and Finance Software,Specialized Skill
Concurrency Controls,Information Technology,Software Development,Specialized Skill
Concurrency Pattern,Information Technology,Software Development,Specialized Skill
Concurrent Computing,Information Technology,Distributed Computing,Specialized Skill
Concurrent Engineering,Engineering,"Engineering, Other",Specialized Skill
Concurrent Estate,"Law, Regulation, and Compliance",Property Law,Specialized Skill
Concurrent Object Modeling And Architectureal Design Method,Information Technology,Distributed Computing,Specialized Skill
Concurrent Versioning System,Information Technology,Version Control,Specialized Skill
Concurrent Versions System (Software),Information Technology,Version Control,Specialized Skill
Concussion Management,Health Care,Injury Treatment,Specialized Skill
Condensation Polymer,Science and Research,"Elements, Compounds, and Materials",Specialized Skill
Condensed Matter,Science and Research,Physics,Specialized Skill
Condensers,"Maintenance, Repair, and Facility Services",HVAC,Specialized Skill
Condensing Boiler,Energy and Utilities,Power Generation,Specialized Skill
Condition Monitoring,"Maintenance, Repair, and Facility Services",Equipment Repair and Maintenance,Specialized Skill
Condition-Based Maintenance,"Maintenance, Repair, and Facility Services",Equipment Repair and Maintenance,Specialized Skill
Conditional Compilation,Information Technology,Software Development,Specialized Skill
Conditional Expressions,Information Technology,Software Development Tools,Specialized Skill
Conditional Formatting,Information Technology,Data Management,Specialized Skill
Conditional Random Fields,Science and Research,Bioinformatics,Specialized Skill
Conditional Statements,Information Technology,Computer Science,Specialized Skill
Conditional Text,Information Technology,Content Management Systems,Specialized Skill
Condominium Law,"Law, Regulation, and Compliance",Property Law,Specialized Skill
Condor,Information Technology,Distributed Computing,Specialized Skill
Conduct Disorder,Health Care,Mental Health Diseases and Disorders,Specialized Skill
Conductor Certification,"Transportation, Supply Chain, and Logistics",Transportation Operations,Certification
